tuę;file:Zaborowski_MBC.djvu?djvuopts=&highlight=431,830,80,60&page=1;U+0119 LATIN SMALL LETTER E WITH OGONEK;※ tuae
quęlibet;file:Zaborowski_MBC.djvu?djvuopts=&highlight=510,833,163,53&page=1;U+0119 LATIN SMALL LETTER E WITH OGONEK;※ quaelibet
cęli;file:Zaborowski_MBC.djvu?djvuopts=&highlight=450,721,76,62&page=1;U+0119 LATIN SMALL LETTER E WITH OGONEK;※ caeli
gręca;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1176,1701,114,66&page=4;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeca
gręco;file:Zaborowski_MBC.djvu?djvuopts=&highlight=223,798,106,64&page=7;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
gręco;file:Zaborowski_MBC.djvu?djvuopts=&highlight=621,429,116,56&page=7;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
gręco;file:Zaborowski_MBC.djvu?djvuopts=&highlight=518,861,119,59&page=8;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
gręcuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=169,1153,131,54&page=11;-m; ※ graecum
gręcuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=598,1673,128,57&page=12;-m; ※ graecum
gręca;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1261,1469,67,62&highlight=475,1430,64,51&page=12;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeca
gręcum;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1127,1410,156,67&page=12;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graecum
gręcuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=704,1176,112,67&page=12;-m; ※ graecum
gręcuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=747,1049,131,62&page=12;-m; ※ graecum
etĩaꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1207,804,107,53&page=12;-m; zbędny diakryt na i?; ※ etiam
gręcũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1132,683,109,64&page=12;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※  greacum
gręcuꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1091,442,134,47&page=12;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graecum
gręco;file:Zaborowski_MBC.djvu?djvuopts=&highlight=93,929,112,54&page=13;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeco
gręca;file:Zaborowski_MBC.djvu?djvuopts=&highlight=511,1599,118,65&page=15;U+0119 LATIN SMALL LETTER E WITH OGONEK; ※ graeca
impꝛopꝛiũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=557,1112,181,48&page=15;częściowo nieczytelne;※ improprium
