pronunciet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=984,2317,273,64&page=2;;※ pronuncietur
grauat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1532,2192,163,71&page=2;;※ grauatur
circũſ‍lec‍tit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1566,2077,275,72&page=2;;※ circumflectitur
grauat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,2022,147,57&page=2;;※ grauatur
denotet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1341,1375,173,63&page=2;;※ denotetur
feruet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1432,1854,157,79&page=3;;※ seruetur
dicit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1432,2381,100,73&page=4;;※ dicitur
ſcribat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=870,2336,150,84&page=4;;※ scribatur
dicit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1489,2315,95,84&page=4;;※ dicitur
reducunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1014,2106,204,57&page=4;;※ reducuntur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=766,1863,141,68&page=4;;※ ponitur
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1073,1674,154,78&page=4;;※ ponatur
videat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1289,1674,170,82&page=4;;※ videatur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=555,1213,134,64&page=4;;※ ponitur
dicit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=605,1163,104,55&page=4;;※ dicitur
ſcribat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1173,966,161,77&page=4;;※ scribatur
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=868,2665,157,77&page=5;;※ ponatur
partit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1020,2379,144,59&page=5;;※ partitur
ſcribant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=177,2092,203,50&page=5;;※ scribantur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1239,1602,134,63&page=5;;※ ponitur
ſcribunt᷑.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=550,1481,198,75&page=5;;※ scribuntur
igit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=270,1256,75,62&page=5;;※ igitur
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1164,1247,154,75&page=5;;※ ponatur
inuenit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1375,788,180,64&page=5;;※ inuenitur
accipit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1459,2613,146,52&page=6;;※ accipitur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1657,2077,118,68&page=6;;※ ponitur
vtunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=939,1670,116,73&page=6;;※ vtuntur
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,1484,145,84&page=6;;※ ponatur
cõſillabicet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=732,1438,245,61&page=6;;※ consillabicetur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=280,2504,134,63&page=7;;※ ponitur
ſignet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=886,1870,128,63&page=7;;※ signetur
legit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1575,1677,123,56&page=8;;※ legitur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1216,1611,136,77&page=8;;※ ponitur
partit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1164,1152,122,66&page=8;;※ partitur
ponant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1336,854,155,75&page=8;;※ ponantur
oꝑant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1459,793,171,70&page=8;;※ operantur
ſignent᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1502,2415,84,68&highlight=205,2388,127,52&page=9;;※ signentur
ſignent᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=750,2256,180,57&page=9;;※ signentur
ſcribant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1330,2195,168,61&page=9;;※ scribuntur
fcribunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=198,2086,191,63&page=9;;※ scribuntur
ſignabunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=741,1908,239,66&page=9;;※ signabuntur
trfeceͦ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1539,2672,131,70&page=10;PL;※ t᷑rec̈ego
adĳcient᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=520,2663,194,68&highlight=607,2667,118,64&page=11;;※ adiicentur
igit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1486,1718,114,76&page=11;;※ igitur
oñdat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=702,1494,128,58&page=11;;※ ostendatur
