ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=513,370,51,60&page=2;; ※ per
ſuꝑfluitatis;file:Zaborowski_MBC.djvu?djvuopts=&highlight=446,1213,235,66&page=4;;※ superfluitatis
ſuꝑnĳs;file:Zaborowski_MBC.djvu?djvuopts=&highlight=631,1082,175,68&page=4;;※ superfluijs
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=485,585,49,68&page=4;;※ per
ſuꝑiori;file:Zaborowski_MBC.djvu?djvuopts=&highlight=845,1236,120,66&highlight=322,1181,50,60&page=5;;※ superiori
ꝑcuſſit;file:Zaborowski_MBC.djvu?djvuopts=&highlight=760,739,130,68&page=5;;※ percussit
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=545,1163,41,69&page=6;;※ per
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=792,351,44,75&page=6;;※ per
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=960,360,37,67&page=6;;※ per
tꝑs;file:Zaborowski_MBC.djvu?djvuopts=&highlight=61,1410,92,66&page=7;;※ tempus
ſuꝑius;file:Zaborowski_MBC.djvu?djvuopts=&highlight=762,1238,137,55&page=7;;※ superius
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=776,855,42,66&page=7;; ※ per
coꝛꝑſ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=789,806,115,54&page=7;;※ corpus
ꝑrit᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=789,1411,86,70&page=8;;※ partitur
ſuꝑaddito;file:Zaborowski_MBC.djvu?djvuopts=&highlight=771,1172,207,60&page=8;;※ superaddito
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1046,1049,39,57&page=8;;※ per
ſuꝑaddito;file:Zaborowski_MBC.djvu?djvuopts=&highlight=747,856,206,76&page=8;;※ superaddito
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=674,798,42,56&page=8;;※ per
ſemꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=526,1492,102,68&page=9;;※ semper
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=378,1432,40,68&page=9;;※ per
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=543,1430,40,66&page=9;;※ per
reꝑit᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=869,1257,67,56&highlight=67,1193,82,72&page=9;;※ reperitur
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=575,816,38,66&page=9;;※ per
ꝑcute;file:Zaborowski_MBC.djvu?djvuopts=&highlight=985,1169,115,69&page=10;;※ percute
ſuꝑia;file:Zaborowski_MBC.djvu?djvuopts=&highlight=704,925,127,68&page=10;;※ superbia
ſuꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=699,426,79,80&page=10;;※ super
ſuꝑflua;file:Zaborowski_MBC.djvu?djvuopts=&highlight=369,1031,150,61&page=11;;※ superflua
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=841,962,51,65&page=13;;※ per
ſuꝑuũ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=381,849,168,67&page=13;;※ superfluum
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=876,405,48,71&page=13;;※ per
ſuꝑius;file:Zaborowski_MBC.djvu?djvuopts=&highlight=671,1572,148,66&page=14;;※ superius
ꝑtibus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1115,466,141,56&page=14;;※ partibus
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=587,341,42,82&page=15;;※ per
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=708,1583,53,64&page=16;; ※ per
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=619,966,41,64&page=16;;※ per
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=832,900,52,63&page=16;;※ per
ꝑtitur;file:Zaborowski_MBC.djvu?djvuopts=&highlight=365,1409,129,64&page=17;;※ partitur
ſuꝑui;file:Zaborowski_MBC.djvu?djvuopts=&highlight=465,920,138,69&page=17;;※ superflui
oꝑant᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=485,852,127,68&page=17;;※ operantur
ꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=946,1260,35,53&page=18;;※ per
ſꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=517,1012,78,78&page=19;żle odbite długie s;※ semper
ſemꝑ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=178,539,107,66&page=21;;※ semper
oꝑa;file:Zaborowski_MBC.djvu?djvuopts=&highlight=243,421,73,48&page=21;; ※ opera
coꝛꝑe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=804,1349,94,62&page=22;;※ corpore
coꝛꝑibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=931,1140,137,56&page=22;;※ corporibus
