ꝓpera;file:Zaborowski_MBC.djvu?djvuopts=&highlight=388,950,128,52&page=1;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ propera
ꝓnũciet᷑;file:Zaborowski_MBC.djvu?djvuopts=&highlight=733,1247,168,60&page=2;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ pronuncietur
ꝓductiōe;file:Zaborowski_MBC.djvu?djvuopts=&highlight=653,628,180,58&page=2;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ productione
ꝓ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=665,501,48,53&page=2;U+A753 LATIN SMALL LETTER P WITH FLOURISH; ※ pro
ꝓſodie;file:Zaborowski_MBC.djvu?djvuopts=&highlight=896,1485,63,60&highlight=103,1410,116,71&page=3;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ prosodie
ꝓfecto;file:Zaborowski_MBC.djvu?djvuopts=&highlight=622,1265,141,70&page=4;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ profecto
ꝓlatū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=404,494,125,65&page=5;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ perlatum
ꝓiecta;file:Zaborowski_MBC.djvu?djvuopts=&highlight=834,439,127,47&page=10;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ proiecta
ꝓductaruꝫ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=55,1519,206,67&page=11;-m;※ productarum
ꝓut;file:Zaborowski_MBC.djvu?djvuopts=&highlight=519,1032,82,56&page=13;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ prout
ꝓfecto;file:Zaborowski_MBC.djvu?djvuopts=&highlight=868,910,76,56&highlight=102,867,57,54&page=13;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ profecto
ꝓiecta;file:Zaborowski_MBC.djvu?djvuopts=&highlight=267,356,127,66&page=13;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ proiecta
ꝓ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=275,493,42,61&page=17;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ per
ꝓ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=332,707,54,61&page=21;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ pro
ꝓdeﬅ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1166,1678,122,65&page=22;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ prodest
ꝓ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1166,1598,53,51&page=22;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ pro
ꝓꝛſus;file:Zaborowski_MBC.djvu?djvuopts=&highlight=890,623,108,59&page=22;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ prorsus
ꝓphetarū;file:Zaborowski_MBC.djvu?djvuopts=&highlight=733,588,182,59&page=22;U+A753 LATIN SMALL LETTER P WITH FLOURISH;※ prophetarum
