ꝟtutis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=589,1656,138,57&page=1;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE; ※ virtutis
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=873,1511,88,66&page=3;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=764,1156,97,62&page=3;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=936,1927,71,59&page=4;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=939,1390,70,62&page=4;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=830,2254,90,72&page=5;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=164,1134,100,63&page=5;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=432,911,73,52&page=5;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1486,1786,91,66&page=6;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1414,1606,84,46&page=6;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1716,1252,66,70&page=6;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1241,2563,79,68&page=7;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1357,2097,95,73&page=7;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=466,1799,82,71&page=7;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1380,1752,81,54&page=7;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=450,2261,82,56&page=9;U+A75F LATIN SMALL LETTER V WITH DIAGONAL STROKE;※ vero
