mãibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=561,954,133,58&page=1;;※ manibus
vriliimꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=862,1562,185,46&page=2;;※ vtilissimus
ꝺictioibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=304,1674,172,55&page=3;;※ dictionibus
vſurpauimꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=982,835,233,63&page=4;;※ vsurpauimus
accodauimꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=440,787,241,53&page=4;;※ accomodauimus
huiꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=629,800,92,67&page=5;;※ huius
ꝺucillꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=643,1483,132,59&page=7;;※ ducillus
ſiꝉibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=492,1423,104,62&page=7;;※ similibus
ſiꝉibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=995,1298,104,65&page=8;;※ similibus
regulariꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1146,861,179,60&page=8;;※ regularius
aliquibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=336,763,167,60&page=9;;※ aliquibus
ꝺictiōibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1067,1358,182,73&page=10;;※ dictionibus
vulgaribꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1082,1295,192,69&page=10;;※ vulgaribus
ſilibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1133,1175,106,76&page=10;;※ similibus
tuꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=573,1492,68,52&page=12;;※ tuus
vulgaribꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=1066,496,190,56&page=12;;※ vulgaribus
ſcribẽdꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=860,1275,84,67&highlight=93,1232,99,66&page=13;;※ scribendus
coꝛulꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=124,1170,121,50&page=13;;※ corulus
baculꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=314,1167,127,57&page=13;;※ baculus
aliꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=637,852,63,64&page=13;;※ alius
ſonꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=694,849,82,59&page=13;;※ sonus
iﬅiꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=768,851,83,66&page=13;;※ istius
regulariꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=501,1535,180,59&page=15;;※ regularius
Bebeliꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=827,1152,160,62&page=16;;※ Bebelius
libidinibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=552,1284,193,73&page=22;;※ libidinibus
coꝛꝑibꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=931,1140,137,56&page=22;;※ corporibus
poumꝰ;file:Zaborowski_MBC.djvu?djvuopts=&highlight=998,964,150,61&page=22;;※ possumus
